pointingID,minT,maxT,deltaT
94,-0.00220018072918415,0.00147026011885606,0.00367044084804021
95,-0.00219915607484938,0.00146887912683945,0.00366803520168883
96,-0.00219805450923863,0.00146759030875809,0.00366564481799672
97,-0.00219702798689193,0.00146623762094448,0.00366326560783641
98,-0.0021959014502768,0.00146483536732846,0.00366073681760527
99,-0.00219484245178014,0.00146365598459666,0.0036584984363768
100,-0.0021937752834385,0.00146228174286197,0.00365605702630047
101,-0.00219273656639473,0.00146095933395168,0.00365369590034641
102,-0.00219162857952718,0.00145969238854521,0.00365132096807239
103,-0.002190590718427,0.00145832820710387,0.00364891892553087
104,-0.00218957728772611,0.00145700952036378,0.00364658680808989
105,-0.00218842014539609,0.00145568139814058,0.00364410154353667
106,-0.00218745681120167,0.00145434509844582,0.00364180190964749
